   677  75 4 1  0.0365914186  0.5077307372   33.62   137.46  -163.44   0.27   0.17   0.35   0.38   0.21  91 11.77  0    0.0    0  2.0371 0.0006 0.005 0 -0.038 0.005 -0.100   1.05  -0.02   1.01  -1.87  -0.16   1.02  -0.05  -0.19  -0.98   1.01  -0.30  -1.16   0.59   1.05   1.00
   765   1 2 1  0.0410545044 -0.7984355691   22.62   121.52  -179.83   0.33   0.27   0.45   0.40   0.38 142 -0.06  0    2.2    0  4.0452 0.0004 0.005 0  1.013 0.029  1.000   1.02  -0.01   1.03  -0.37   0.11   1.02  -0.03   0.29   0.09   1.00   0.36   0.51  -0.49  -0.01   1.00
  1067   1 1 1  0.0577522202  0.2650040933    8.33     1.98    -9.28   0.44   0.25   0.53   0.55   0.34 134  0.18  0    2.2    0  2.7544 0.0009 0.007 1 -0.190 0.002 -0.220   1.11  -1.66   1.01   0.09   0.00   1.00   0.43   0.17   0.04   1.14  -0.01  -0.33  -0.06  -1.64   1.00
  1473   5 0 1  0.0799728252  0.6420250772   24.20   -65.67   -42.00   0.17   0.11   0.21   0.18   0.13 108  0.32  0    0.0    0  4.5377 0.0004 0.004 0  0.054 0.002  0.060   1.03  -1.01   1.02  -0.28  -0.75   1.01  -1.07   0.88   0.20   1.02   1.45  -0.14  -1.37  -1.69   1.00
  1562   5 0 1  0.0847708677 -0.1540048781   11.88   -15.15   -37.11   0.17   0.10   0.18   0.17   0.10  91 -1.36  0    0.0    0  3.7314 0.0006 0.006 0  1.214 0.003  1.130   1.16  -2.94   1.07  -0.95  -0.99   1.00   2.21   0.21  -0.14   1.02  -0.75   2.75   0.37  -1.86   1.00
  1599   5 0 1  0.0874056696 -1.1323281358  116.46  1707.42  1164.30   0.12   0.12   0.16   0.15   0.16 140 -0.32  0    0.0    0  4.3442 0.0006 0.005 0  0.576 0.010  0.650   1.02   0.74   1.03   0.05   1.14   1.00   0.53  -0.86   0.08   1.01  -0.79   0.23   0.13   0.63   1.00
  2021   5 0 1  0.1119339317 -1.3483547235  134.07  2219.54   324.09   0.09   0.10   0.11   0.11   0.11 128 -0.36  1    0.0    0  2.9305 0.0003 0.004 0  0.618 0.008  0.680   1.02  -0.17   1.05  -0.61   2.28   1.00   1.04  -1.27  -0.22   1.02  -1.32   1.36   0.13  -1.84   1.00
  2072   5 0 1  0.1143275139 -0.7623582379   42.00   106.20    32.15   0.10   0.11   0.15   0.13   0.14 141 -1.08  0    0.0    0  3.9946 0.0006 0.006 0  0.175 0.008  0.200   1.01   0.07   1.03  -0.34   0.84   1.00  -0.07   0.82  -0.36   1.00   0.79   0.88  -0.20  -0.20   1.00
  2081   1 1 1  0.1146730467 -0.7383636553   38.50   233.05  -356.30   0.49   0.52   0.73   0.65   0.74 141  0.74  2    3.8    0  2.5512 0.0005 0.004 0  1.083 0.016  1.110   1.01  -0.25   1.07   0.05   0.21   1.00   0.01  -0.11   0.05   1.02  -0.11   0.48  -0.06  -0.26   1.00
  2484   5 0 1  0.1376309022 -1.0988258828   24.15    83.64   -54.82   0.16   0.15   0.20   0.19   0.18 145  3.03  0    0.0    0  4.3328 0.0012 0.015 0 -0.064 0.009 -0.020   1.03   0.49   1.02  -0.37   0.26   1.00   0.85  -1.14  -0.05   1.00  -1.18  -0.13   0.03   0.15   1.00
  2912  75 4 1  0.1609221868  0.5885137233    5.45    14.75    -3.51   0.26   0.22   0.31   0.33   0.21  77  5.82  0    0.0    0  4.3098 0.0006 0.006 0 -0.123 0.003 -0.080   1.10  -2.20   1.13  -0.82  -0.96   1.01   0.48   0.59  -0.80   1.09   0.57   3.04   0.57  -3.05   1.00
  3031   5 0 1  0.1682424183  0.5115973496   19.91  -229.04  -253.11   0.17   0.14   0.19   0.20   0.13  81 -0.36  0    0.0    0  4.4994 0.0006 0.005 0  0.871 0.003  0.920   1.09  -2.67   1.10  -0.35  -0.10   1.02  -0.26   0.66   0.45   1.10   0.93   2.89  -1.47  -3.28   1.00
  3092   5 0 1  0.1715947657  0.5386300044   30.91   114.45   -84.02   0.13   0.11   0.15   0.18   0.11 109 -1.12  0    0.0    0  3.4328 0.0005 0.004 0  1.268 0.040  1.230   1.23  -5.04   1.15  -0.09  -0.34   1.00  -3.07   2.14  -0.08   1.22   4.21   1.98  -0.65  -5.93   1.00
  3179   5 0 1  0.1767427477  0.9867639420   14.29    50.88   -32.13   0.08   0.09   0.15   0.11   0.10 233  1.47  2    0.0    0  2.4107 0.0004 0.005 0  1.170 0.000  1.130   1.12   6.23   1.02  -0.74  -0.75   1.03  -0.54  -1.68   0.09   1.13  -1.60  -1.36  -2.51   5.52   1.00
  3245   5 0 1  0.1803198559 -0.8043351513   13.27   -28.20     1.80   0.18   0.15   0.23   0.22   0.17 112  0.20  0    0.0    0  4.7591 0.0005 0.004 0  0.953 0.037  0.950   1.07   0.37   1.02   0.45   0.78   1.03  -1.66  -0.49   0.62   1.01  -0.66  -0.39  -1.07   0.66   1.00
  3419   5 0 1  0.1901847668 -0.3139268585   33.86   232.55    31.99   0.13   0.12   0.16   0.18   0.12 114  0.80  1    0.0    0  2.2061 0.0008 0.007 2  1.019 0.021  1.000   1.31  -6.41   1.19  -0.58   1.45   1.02   2.42   0.32  -0.94   1.19  -1.16   4.66  -0.63  -5.62   1.00
  3693   5 0 1  0.2065590047  0.4235456253   17.24  -101.17   -81.77   0.24   0.18   0.26   0.24   0.15  65  2.15  0    0.0    0  4.2487 0.0025 0.027 1  1.100 0.004  1.060   1.06  -1.01   1.13  -0.98  -0.39   1.00   0.88   0.35   0.44   1.02   0.34   4.03  -0.55  -1.60   1.00
  3786   5 0 1  0.2124135100  0.1323867455   10.48    83.10   -49.58   0.17   0.14   0.22   0.21   0.14  78 -1.18  0    0.0    0  4.5555 0.0009 0.007 0  1.500 0.008  1.580   1.17  -3.49   1.03  -0.69  -1.05   1.06   0.56   0.09  -1.12   1.16  -0.23   0.93  -0.94  -3.95   1.00
